2.0167130000e+01,2.1661670000e+01,2.0379210000e+01,1.9490210000e+01,1.9162300000e+01,2.3768950000e+01,2.2455730000e+01,2.0958770000e+01,1.9939870000e+01,1.9573300000e+01,0
2.2544730000e+01,2.1811980000e+01,2.2112920000e+01,2.1611550000e+01,1.9092700000e+01,2.2708410000e+01,2.1955720000e+01,2.2104710000e+01,2.1715500000e+01,2.1525610000e+01,1
2.1066710000e+01,2.1575220000e+01,1.9728130000e+01,1.8914630000e+01,1.8410730000e+01,2.2509600000e+01,2.2197300000e+01,2.0304430000e+01,1.9542590000e+01,1.9066680000e+01,0
2.0644240000e+01,1.8428710000e+01,1.7385480000e+01,1.6960380000e+01,1.6640530000e+01,2.1340950000e+01,1.9652350000e+01,1.8657670000e+01,1.8240520000e+01,1.7944360000e+01,0
2.1718020000e+01,2.0669560000e+01,2.0058790000e+01,1.9888550000e+01,1.9771010000e+01,2.1817160000e+01,2.0675420000e+01,2.0070180000e+01,1.9884840000e+01,1.9807250000e+01,1
2.3838900000e+01,2.0294430000e+01,1.8934490000e+01,1.8249240000e+01,1.7872540000e+01,2.4335210000e+01,2.1965060000e+01,2.0373710000e+01,1.9711200000e+01,1.9311130000e+01,0
2.0794280000e+01,1.9057450000e+01,1.8379210000e+01,1.8106950000e+01,1.7984520000e+01,2.0754130000e+01,1.9060790000e+01,1.8384560000e+01,1.8101590000e+01,1.7996030000e+01,1
1.9704770000e+01,1.8092810000e+01,1.7007130000e+01,1.6598650000e+01,1.6260170000e+01,2.1558750000e+01,1.9559170000e+01,1.8367160000e+01,1.8034370000e+01,1.7620700000e+01,0
1.7179940000e+01,1.6065690000e+01,1.5497570000e+01,1.5155050000e+01,1.4878390000e+01,2.0264900000e+01,1.8850910000e+01,1.8074890000e+01,1.7839100000e+01,1.7397000000e+01,0
2.2020870000e+01,1.8785290000e+01,1.7468520000e+01,1.6938560000e+01,1.6751690000e+01,2.2586880000e+01,1.9915100000e+01,1.8594640000e+01,1.8096350000e+01,1.7742090000e+01,0
1.9021080000e+01,1.7510270000e+01,1.6685920000e+01,1.6265360000e+01,1.5850840000e+01,2.1114260000e+01,1.9515820000e+01,1.8765540000e+01,1.8333150000e+01,1.8044490000e+01,0
2.0675370000e+01,2.1694850000e+01,2.0861520000e+01,1.9959510000e+01,1.9724070000e+01,2.3476900000e+01,2.3193830000e+01,2.2536790000e+01,2.1560360000e+01,2.0736610000e+01,0
2.4888310000e+01,2.3203160000e+01,2.0990100000e+01,1.9629120000e+01,1.9205880000e+01,2.4873870000e+01,2.3365140000e+01,2.1364830000e+01,2.0260850000e+01,1.9676140000e+01,0
2.4258790000e+01,2.2811540000e+01,2.0920170000e+01,1.9775900000e+01,1.9419340000e+01,2.4251350000e+01,2.2983690000e+01,2.1487450000e+01,2.0507840000e+01,1.9940720000e+01,0
2.4805220000e+01,2.1864320000e+01,2.1605270000e+01,2.1414450000e+01,2.1241170000e+01,2.4820540000e+01,2.1831870000e+01,2.1604460000e+01,2.1586620000e+01,2.1215560000e+01,1
1.9594110000e+01,1.8568080000e+01,1.7733180000e+01,1.7303260000e+01,1.6944740000e+01,2.1542280000e+01,2.0167700000e+01,1.9401480000e+01,1.9049760000e+01,1.8547710000e+01,0
2.5129090000e+01,2.1459360000e+01,1.9822980000e+01,1.8992400000e+01,1.8890000000e+01,2.4700070000e+01,2.2392810000e+01,2.0678030000e+01,1.9955330000e+01,1.9529360000e+01,0
2.0616670000e+01,2.1144310000e+01,1.9577960000e+01,1.9027280000e+01,1.8612200000e+01,2.2732480000e+01,2.1625540000e+01,2.0164550000e+01,1.9486250000e+01,1.9156990000e+01,0
2.1522870000e+01,2.1239370000e+01,2.1206710000e+01,2.0947270000e+01,2.0474830000e+01,2.1587560000e+01,2.1260280000e+01,2.1233070000e+01,2.1026830000e+01,2.1021250000e+01,1
